Cyl,HP,HwyMPG,category
6.0,235,26.0,Other
8.0,294,28.0,Other
8.0,390,24.0,Other
8.0,294,28.0,Other
8.0,294,28.0,Other
8.0,390,24.0,Other
8.0,294,26.0,SportsCar
8.0,294,26.0,SportsCar
8.0,390,23.0,SportsCar
8.0,390,23.0,SportsCar
6.0,192,26.0,Other
6.0,227,25.0,Other
6.0,195,21.0,SUV
4.0,150,24.0,SUV
6.0,190,19.0,SUV
6.0,195,25.0,Other
4.0,138,30.0,Other
6.0,170,27.0,Other
4.0,104,32.0,Other
4.0,104,33.0,Other
4.0,104,33.0,Other
6.0,195,22.0,Other
6.0,192,19.0,SUV
4.0,124,32.0,Other
4.0,124,32.0,Other
4.0,124,32.0,Other
8.0,217,16.0,SUV
6.0,174,21.0,SUV
8.0,282,16.0,SUV
6.0,225,29.0,Other
6.0,220,25.0,Other
8.0,300,23.0,Other
8.0,235,19.0,SUV
6.0,215,24.0,Other
6.0,215,25.0,Other
6.0,215,24.0,Other
8.0,290,25.0,Other
8.0,235,17.0,SUV
6.0,230,24.0,SUV
8.0,300,23.0,SportsCar
8.0,302,18.0,SUV
6.0,232,26.0,Other
6.0,232,26.0,Other
8.0,280,24.0,Other
8.0,280,24.0,Other
8.0,300,18.0,SUV
8.0,239,25.0,Other
8.0,239,25.0,Other
8.0,239,25.0,Other
4.0,143,29.0,Other
6.0,207,19.0,Other
6.0,200,25.0,Other
4.0,142,28.0,SportsCar
4.0,142,28.0,SportsCar
5.775700935,197,25.0,SportsCar
5.775700935,238,24.0,SportsCar
4.0,130,25.0,SUV
4.0,148,26.9057971,Other
4.0,160,26.9057971,Other
4.0,160,32.0,Other
4.0,189,30.0,Other
6.0,168,25.0,Other
6.0,168,25.0,Other
6.0,168,25.0,Other
6.0,349,21.0,Other
6.0,215,26.0,Other
6.0,215,27.0,Other
6.0,215,26.0,Other
6.0,215,26.0,Other
8.0,302,24.0,Other
12.0,493,19.0,Other
6.0,215,26.0,Other
8.0,302,22.0,Other
6.0,221,27.0,Other
6.0,221,27.0,Other
8.0,302,24.0,Other
8.0,302,20.0,Other
8.0,292,14.0,SUV
8.0,288,17.0,SUV
8.0,275,26.0,Other
8.0,302,24.0,Other
8.0,302,23.0,SportsCar
8.0,493,21.0,SportsCar
12.0,493,19.0,SportsCar
4.0,192,29.0,SportsCar
6.0,349,22.0,SportsCar
8.0,224,25.0,Other
8.0,224,25.0,Other
8.0,224,25.0,Other
8.0,302,23.0,Other
6.0,201,23.0,Other
6.0,210,21.0,SUV
6.0,155,26.0,Other
6.0,155,27.0,Other
6.0,201,26.0,Other
4.0,115,37.0,Other
4.0,163,34.0,Other
6.0,205,25.0,Other
6.0,210,28.0,SportsCar
6.0,210,28.0,SportsCar
6.0,215,21.0,SUV
4.0,160,26.9057971,Other
6.0,230,26.0,Other
4.0,120,26.9057971,Other
4.0,271,26.0,SportsCar
4.0,120,26.9057971,Other
4.0,120,26.9057971,Other
4.0,160,26.9057971,Other
6.0,215,19.0,SUV
4.0,160,27.0,SUV
6.0,287,26.0,SportsCar
6.0,287,26.0,SportsCar
4.0,175,26.0,Other
6.0,245,26.0,Other
6.0,180,20.0,Other
6.0,265,28.0,Other
6.0,265,28.0,Other
6.0,245,25.0,Other
8.0,305,19.0,SUV
6.0,240,21.0,SUV
6.0,240,26.0,Other
6.0,240,25.0,Other
4.0,126,35.0,Other
4.0,126,35.0,Other
4.0,165,28.0,Other
8.0,305,18.0,Other
6.0,180,20.0,SUV
6.0,170,29.0,Other
4.0,140,32.0,Other
6.0,185,26.0,Other
6.0,185,26.0,SUV
8.0,275,26.9057971,Other
6.0,175,29.0,Other
6.0,200,30.0,Other
6.0,200,30.0,Other
8.0,340,26.9057971,SportsCar
6.0,185,26.0,Other
6.0,185,24.0,Other
4.0,140,33.0,Other
4.0,140,33.0,Other
4.0,130,36.0,Other
6.0,315,24.0,SportsCar
6.0,315,26.0,SportsCar
6.0,477,24.0,SportsCar
6.0,315,26.0,SportsCar
6.0,228,29.0,SportsCar
6.0,258,26.0,SportsCar
8.0,340,18.0,SUV
4.0,210,28.0,Other
4.0,210,30.0,Other
4.0,210,29.0,Other
4.0,210,28.0,Other
4.0,250,29.0,Other
4.0,250,29.0,Other
4.0,220,29.0,Other
4.0,140,35.0,Other
4.0,140,34.0,Other
6.0,182,28.0,Other
4.0,140,35.0,Other
4.0,140,35.0,Other
4.0,140,35.0,Other
4.0,140,35.0,Other
4.0,143,26.0,SUV
4.0,108,38.0,Other
4.0,108,35.0,Other
4.0,165,28.0,Other
4.0,165,28.0,Other
4.0,165,28.0,Other
4.0,227,27.0,SportsCar
4.0,300,24.0,SportsCar
4.0,165,28.0,Other
4.0,165,28.0,Other
4.0,165,28.0,Other
6.0,212,26.0,Other
6.0,212,26.0,Other
4.0,165,27.0,Other
4.0,155,31.0,Other
4.0,155,31.0,Other
4.0,155,29.0,Other
4.0,119,30.0,Other
4.0,119,31.0,Other
6.0,155,27.0,Other
6.0,165,22.0,SUV
6.0,185,22.0,SUV
6.0,245,21.0,SUV
6.0,210,29.0,Other
6.0,210,29.0,Other
4.0,157,33.0,Other
6.0,210,29.0,Other
4.0,157,33.0,Other
6.0,225,29.0,Other
6.0,225,29.0,Other
6.0,210,29.0,Other
4.0,180,33.0,SportsCar
4.0,130,40.0,Other
4.0,130,40.0,Other
4.0,130,40.0,Other
4.0,108,39.0,Other
4.0,108,43.0,Other
4.0,108,43.0,Other
6.0,230,24.0,SUV
8.0,325,17.0,SUV
4.0,130,36.0,Other
4.0,138,32.0,SportsCar
4.0,110,51.0,Other
4.0,161,27.0,SUV
8.0,240,17.0,SUV
6.0,230,27.0,Other
6.0,230,27.0,Other
4.0,142,27.0,Other
6.0,190,17.0,Other
6.0,190,20.0,Other
4.0,115,31.0,Other
4.0,180,31.0,Other
4.0,115,30.0,Other
6.0,200,30.0,Other
4.0,100,46.0,Other
4.0,150,31.0,Other
4.0,115,30.0,Other
4.0,170,31.0,Other
4.0,170,31.0,Other
6.0,190,26.0,Other
8.0,270,25.0,Other
8.0,270,25.0,Other
8.0,335,26.9057971,Other
12.0,420,26.9057971,Other
6.0,220,20.0,SUV
5.0,242,26.0,Other
5.0,197,28.0,Other
4.0,170,29.0,Other
5.0,208,27.0,Other
5.0,300,25.0,Other
5.0,247,28.0,Other
5.0,194,27.0,Other
6.0,208,28.0,Other
6.0,268,26.0,Other
4.0,170,29.0,Other
5.0,208,27.0,Other
6.0,268,20.0,SUV
